IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,195220,2020-03-10T00:00:00.000Z,01055,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,2,0,195221,2020-03-15T00:00:00.000Z,01055,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,195222,2020-03-16T00:00:00.000Z,01055,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,195223,2020-03-18T00:00:00.000Z,01055,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,2,0,195224,2020-03-19T00:00:00.000Z,01055,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Ostholstein,A35-A59,W,1,0,195225,2020-03-18T00:00:00.000Z,01055,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Ostholstein,A35-A59,W,1,0,195226,2020-03-19T00:00:00.000Z,01055,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Ostholstein,A60-A79,M,1,0,195227,2020-03-21T00:00:00.000Z,01055,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Ostholstein,A60-A79,W,1,0,195228,2020-03-19T00:00:00.000Z,01055,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A05-A14,W,1,0,195229,2020-03-13T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,195230,2020-03-14T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,195231,2020-03-17T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,195232,2020-03-18T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,2,0,195233,2020-03-19T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,2,0,195234,2020-03-20T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,195235,2020-03-21T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,195236,2020-03-09T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,195237,2020-03-12T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,195238,2020-03-14T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,195239,2020-03-17T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,2,0,195240,2020-03-19T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,195241,2020-03-20T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,195242,2020-03-21T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,195243,2020-03-22T00:00:00.000Z,01056,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,195244,2020-03-03T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,195245,2020-03-11T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,195246,2020-03-12T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,195247,2020-03-13T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,195248,2020-03-14T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,195249,2020-03-15T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,195250,2020-03-16T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,4,0,195251,2020-03-17T00:00:00.000Z,01056,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,2,0,195252,2020-03-18T00:00:00.000Z,01056,24.03.2020 00:00,0,0
